"Term name (NOT TO BE EDITED, but see comments in column K)",acronym/abbreviation (Editors can insert suggestions),Pending discussion,"skos:definition @en                                                          Comments welcome, but DO NOT EDIT column D (FdJ will do that based on comments in column M). Note that in some cases the original can still be checked in column R",project/community/source,source indications in the source,date (internal information only),select (Editors in favour of selection can add a smart chip/their initials) ,to be discussed (Editors in favour of discussion can add a smart chip/their initials) ,reject (Editors in favour of rejection can add a smart chip/their initials) ,final decision (verdict to be specified based on consensus/majority; probably not before 13 July),status: current / not used / outdated; annotated with user initials,"editorial comments, annotated with user initials (light grey font: no further actionr equired on short notice)",URI (without namespace); capitalisation for internal purposes only; DO NOT EDIT,skos:prefLabel @en,skos:altLabel @en;  column NOT TO BE EDITED;  relevance of this column still under  discussion ,skos:broader,original definition @en,skos:note @en,skos:example @en,skos:exactMatch,skos:closeMatch
NOTE: discipline vs domain could benefit from some more clarification in order to align the various entries/definitions,,,,,,,,,,,,,,,,,,,,,
NOTE: for most governance-related terms the definitions may have to be aligned before a final selection can be made,,,,,,,,,,,,,,,,,,,,,
access,,to be checked by all ,protocol for availability of research data and services to users,"OSCARS Glossary TaskForce 2026, based on several sources, incl. ESFRI Report on Access to Research Infrastructures and Charter on Access to RIs;     https://zenodo.org/doi/10.5281/zenodo.10533244 ",,2026-09-02,,,,select,,,Access,access,,,,"The ESFRI report distinguishes a diversity of access types (physical, remote, virtual) ad nature of services offered. Access policies (open, restricted) is dependent on a range of conditions, including ownership and sensitivity issues.","Listed in the Access Charter:  machine time, computing resources, software, data, data-communication services, trust and authentication services, sample preparation, archives, collections, the set-up, execution and dismantling of experiments, education and training, expert support and analytical services",,
administrative metadata,,,metadata​ necessary to allow the proper management of a ​resource​ in a ​repository​.,EOSC Glossary September 2020,"ISO/TR 14873:2013, modified –– reference to metadata instead of information; Note 1 to entry has been broken up into independent concepts; reference to resource instead of digital objects.",2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,,"Important for management of investigation data
JLL: Fundamental for research data management. SELECT directly.",AdministrativeMetadata,administrative metadata,,metadata,metadata​ necessary to allow the proper management of a ​resource​ in a ​repository​.,"Administrative metadata can be categorised as ​provenance or context metadata​, ​technical​ and ​rights metadata​.",,,
Authentication and Authorisation Infrastructure,AAI,,"service (or distributed set of services) which enables users to be identified and to access protected information, other services or functionality.",EOSCFuture project glossary,,2024-03-29,Franciska de Jong Joaquin Lopez Alberto IessLorenz Makula MN,,,select,,,AuthenticationAndAuthorisationInfrastructure,Authentication and Authorisation Infrastructure,AAI,service,"A service (or distributed set of services) which enables users to be identified and to access protected information, other services or functionality.",,,,
certified repository,,,"digital data archive that has been evaluated and approved by an independent authority to meet standards for reliability, data integrity, and long-term preservation.","OSCARS Glossary TaskForce 2026, based on several sources",,2026-07-13,Franciska de Jong FF,,,select,can be rediscussed after first release,Include reference to e.g. TRUST?   FdJ: To be checked if there is an OSCARS source that provides a better definition,CertifiedRepository,certified repository,,repository,,"Repository certification, such as CoreTrustSeal, offers to any interested data repository a core level certification based on the Core Trustworthy Data Repositories (TDR) requirements.",,,
competence centre,,,virtual hub dedicated to fostering research excellence through training and knowledge transfer. ,https://oscars-project.eu/clusters-open-science-competence-centres,,2026-07-03,Franciska de Jong Joaquin Lopez Alberto IessLorenz Makula MN,,,select,,Earlier definition adjusted to match the ISO standards,CompetenceCentre,competence centre,,,,"Specifically in the context of OSCARS: community-based initiative supported by a collaborative science cluster network of people providing expertise, best practices and services in relation to Open Science, and the promotion of cross-disciplinary collaboration.",,,
component,,to be checked by all ,resource that functions independently but that can be easily assembled or reconfigured with other resources to create new workflows or applications.                   ,"OSCARS Glossary TaskForce 2026, based on several sources, incl. OSCARS D2.1 - Clusters' Services and Data Sources Portfolios; https://zenodo.org/records/14881627",,2026-09-02,,,,select,,,Component,component,,,,,,,
composability,,,"ability to combine and integrate smaller, modular components or services into more complex systems",OSCARS D2.1 - Clusters' Services and Data Sources Portfolios; https://zenodo.org/records/14881627,,2026-07-03,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,,,Composability,composability,,,,,,,
data,,,"codified, fixed and transmissible information, that may be arranged for automatic processing",https://www.wikidata.org/wiki/Q42848,,2026-07-23,Franciska de Jong Joaquin Lopez  IMS  MN,Alberto Iess,Lorenz Makula,select,can be rediscussed after first release; ,"FdJ: we need 'data' in the set of terms  to be able to express links with other terms; 'digital data' now also added;  FdJ: Earlier definition adjusted because in the context of EOSC ""data"" is not only digital (as mentioned by MN and IvdL).",Data,data,,component,,"In the ​EOSC ecosystem​ (research) data can be digital, analogue or heterogenous in nature.","Sequences of bits, code, measurements, text, recordings,  ",,
